ID,creator,age,stim,inverted,category1,category2,category3,confidence,creativity,filepath
3017,child,4.0,I,False,completing,,,2.0,0.0,../data/children/stimuli_I/3017.png
3017,child,4.0,R,True,completing,encircled,,2.0,0.0,../data/children/stimuli_R/3017.png
3018,child,5.0,G,False,mushroom,circles,,1.0,1,../data/children/stimuli_G/3018.png
3018,child,5.0,I,False,(smiley) face ,door,tongue,1.0,2.0,../data/children/stimuli_I/3018.png
3018,child,5.0,R,True,(smiley) face,ice cream cone,tongue,1.0,2.0,../data/children/stimuli_R/3018.png
3020,child,7.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/3020.png
3020,child,7.0,I,False,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_I/3020.png
3020,child,7.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/3020.png
3022,child,4.0,G,False,abstract doodle/hard to interpret,heart,,2.0,0,../data/children/stimuli_G/3022.png
3022,child,4.0,I,False,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_I/3022.png
3022,child,4.0,R,True,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_R/3022.png
3023,child,4.0,G,False,tracing,,,2.0,20,../data/children/stimuli_G/3023.png
3023,child,4.0,I,False,tracing,,,2.0,20.0,../data/children/stimuli_I/3023.png
3023,child,4.0,R,True,tracing,,,1.0,20.0,../data/children/stimuli_R/3023.png
3024,child,4.0,G,False,completing,,,1.0,0,../data/children/stimuli_G/3024.png
3024,child,4.0,I,False,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_I/3024.png
3024,child,4.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/3024.png
3025,child,4.0,G,False,abstract doodle/hard to interpret,eye,lines,2.0,10,../data/children/stimuli_G/3025.png
3025,child,4.0,I,False,abstract doodle/hard to interpret,boat,,2.0,10.0,../data/children/stimuli_I/3025.png
3025,child,4.0,R,False,abstract doodle/hard to interpret,lines,,2.0,10.0,../data/children/stimuli_R/3025.png
3026,child,5.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/3026.png
3026,child,5.0,I,True,(smiley) face,circles,tongue,2.0,2.0,../data/children/stimuli_I/3026.png
3026,child,5.0,R,True,(smiley) face,tongue,wings,2.0,2.0,../data/children/stimuli_R/3026.png
